HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
T1019,457916,1100608370.0,159.85583734360506,267.1899259074172,26.757238444970163,357.2505876900259,330.49334924505575,1.6714430348458338,202.07469901438645
99213,13566914,764306590.0,43.98075173972554,46.134045118767936,0.6712820512820513,78.73963008194143,78.06834803065938,1.0489599039094513,93.85850989503282
99214,11728025,502480931.0,58.54861796921523,46.11529295670426,8.004166666666666,104.67999999999999,96.67583333333333,0.7876410162397276,72.39231947853217
S5125,214380,398071209.0,204.4148896706036,492.293918400879,34.70273123645232,427.67081141439223,392.9680801779399,2.408307531776021,285.1245410843967
T1015,2429393,322233922.0,163.38922994138545,115.89625927018844,43.836693333333336,285.746864035088,241.91017070175465,0.7093261857698042,76.4354735382452
H0020,125637,312323784.0,42.81001793087981,66.201599746081,4.097106638418079,101.02507761509796,96.92797097667987,1.5464043919105281,138.74882530071196
85025,2259404,276124130.0,7.983916397171971,35.43656201909497,0.0,10.017931034482759,10.017931034482759,4.4384936234611825,207.04917303384119
80053,1664536,226139755.0,11.954298568872535,34.73473096162483,0.0,19.54019230769231,19.54019230769231,2.9056268556040274,168.99296082119056
36415,2730219,224973443.0,3.599601271141965,22.13742913187181,0.0,5.3173076923076925,5.3173076923076925,6.149967028111633,218.0473437539528
99199,116848,173326821.0,58.0049670386617,521.8223483483429,2.6041666666666665,51.603634530791794,48.99946786412513,8.996166621395298,667.7118720422345
99284,3980198,170705529.0,106.94992471150283,112.53528638814174,41.73558666666667,207.91901937984514,166.18343271317846,1.0522240823610247,102.19927025485751
99283,3270001,157926994.0,83.41533239201863,82.70077812284366,28.79565217391304,178.7845652173913,149.98891304347825,0.9914337778357478,93.99641376535483
A0100,69392,157024238.0,31.706453521542045,46.11473150401737,0.6528356559641479,60.04909146571721,59.396255809753065,1.454427297354024,112.63891031317068
D0230,1400453,149565588.0,7.777796568570271,7.999453958095699,1.7587714285714298,13.962105665349148,12.203334236777717,1.0284987383729134,50.00564564451021
D0120,2280791,136235319.0,28.317169948703274,27.733182337353437,10.728333333333333,45.0,34.27166666666667,0.9793769076356241,65.42654265307716
97110,1137186,135669845.0,35.0495021360012,35.63366576168727,5.514992581602374,70.14420238095238,64.62920979935001,1.0166668166474764,79.73304059121169
92507,945764,129458330.0,58.56599727280618,34.09743480839538,20.12655758077879,94.78692307692307,74.66036549614428,0.5822053135980281,47.12855475589286
