HCPCS_CODE,n,claims,unit_mean,unit_std,unit_p10,unit_p90,unit_iqr_like,cv,suspicion_score
99484,13510,735061.0,39.296012141519256,191.84562409073885,0.0,27.86607196029777,27.86607196029777,4.882063436865626,221.79816600147106
T2013,11581,12241625.0,445.58790656407206,1251.319605708013,114.77554896142433,238.97643750000003,124.2008885385757,2.8082440911759416,221.44144807678958
81479,6190,2497545.0,113.05222490533357,307.72895091421645,0.0,246.5735028543063,246.5735028543063,2.7220070296882626,221.08629686958463
J0171,18590,533091.0,5.216679729189765,36.76193458320435,0.0,9.736844736842135,9.736844736842135,7.046998568362194,220.60536875333054
A4556,6062,520817.0,20.08562602819244,97.64265878572712,0.0,30.204642857142954,30.204642857142954,4.861320162422353,220.20824913568526
E1035,350,11611.0,105.18887980128167,521.8689014183434,0.0,113.2329473684211,113.2329473684211,4.9612554331240695,220.07081625747227
H0038,138423,30385812.0,99.55543810213506,244.87208260885976,0.0,177.55612502887064,177.55612502887064,2.4596555173374126,219.818268950665
0278,263,6477.0,72.67373878203166,464.7352413378832,0.0,48.56284210526323,48.56284210526323,6.394816740222363,219.09189249977237
J1644,84402,15083053.0,4.399065056522946,32.89295871341855,0.0,4.868175660160738,4.868175660160738,7.477261256831103,218.73117917089547
L9900,195,17157.0,370.2397930554444,1459.0282282014798,18.17312,312.57185714285714,294.39873714285716,3.9407655675277087,218.61989612524474
36415,2730219,224973443.0,3.5996012711425602,22.137429131872008,0.0,5.3173076923076925,5.3173076923076925,6.149967028110672,218.0473437539187
94668,466,44945.0,52.946146306697926,222.56841034333436,0.0,124.84025,124.84025,4.203675354464437,217.79607114558695
